,Female,Bachelors,Grad,Professional,STN-LINE
0,0.513,0.389,0.377,0.243,34 ST-PENN STA 123ACE
1,0.501,0.426,0.326,0.254,CANAL ST JNQRZ6W
2,0.52,0.4,0.358,0.238,33 ST 6
3,0.523,0.422,0.342,0.245,23 ST 6
4,0.501,0.426,0.326,0.254,BOWLING GREEN 45
5,0.514,0.291,0.272,0.228,JAY ST-METROTEC ACF
6,0.559,0.468,0.372,0.242,86 ST 456
7,0.52,0.387,0.387,0.243,42 ST-BRYANT PK BDFM7
8,0.52,0.387,0.387,0.243,TIMES SQ-42 ST 1237ACENQRSW
9,0.52,0.387,0.387,0.243,34 ST-HERALD SQ BDFMNQRW
10,0.501,0.426,0.326,0.254,CHAMBERS ST ACE23
11,0.553,0.428,0.383,0.25,LEXINGTON AV/53 EM6
12,0.49,0.394,0.346,0.242,23 ST FM
13,0.52,0.387,0.387,0.243,47-50 STS ROCK BDFM
14,0.524,0.207,0.143,0.129,PATH NEW WTC 1
15,0.515,0.334,0.481,0.216,59 ST COLUMBUS ABCD1
16,0.484,0.226,0.089,0.181,DELANCEY/ESSEX FJMZ
17,0.516,0.44,0.38,0.279,FULTON ST 2345ACJZ
18,0.533,0.172,0.081,0.091,FLUSHING-MAIN 7
19,0.48,0.18,0.07,0.102,JKSN HT-ROOSVLT EFMR7
20,0.49,0.379,0.336,0.235,42 ST-PORT AUTH ACENQRS1237W
21,0.52,0.387,0.387,0.243,34 ST-PENN STA 123
22,0.514,0.291,0.272,0.228,BOROUGH HALL 2345R
23,0.503,0.448,0.39,0.25,W 4 ST-WASH SQ ABCDEFM
24,0.553,0.428,0.383,0.25,GRD CNTRL-42 ST 4567S
25,0.516,0.44,0.38,0.279,WALL ST 23
26,0.505,0.39,0.367,0.243,34 ST-PENN STA ACE
27,0.52,0.4,0.358,0.238,28 ST 6
28,0.503,0.436,0.333,0.245,B'WAY-LAFAYETTE BDFQ6
29,0.469,0.148,0.078,0.099,59 ST 456NQRW
30,0.548,0.324,0.407,0.221,96 ST 123
